food_category,consumption,co2_emmission
Beef,12.123384615384609,374.1019999999999
Eggs,8.163769230769232,7.499615384615382
Fish,17.28707692307693,27.60169230769231
Lamb & Goat,2.600153846153845,91.05676923076923
Milk - inc. cheese,125.7746923076923,179.15384615384613
Nuts inc. Peanut Butter,4.137230769230769,7.322999999999999
Pork,16.123692307692313,57.07007692307691
Poultry,21.219230769230766,22.79353846153846
Rice,29.37515384615385,37.59161538461537
Soybeans,0.8605384615384617,0.3873076923076924
Wheat and Wheat Products,71.54953846153845,13.644461538461533
